,super_cluster,gene_names
1,1,CLGN
1,1,CLPTM1L
1,1,DERL2
1,1,DNAJC16
1,1,DPY19L4
1,1,ELOVL5
1,1,EMC1
1,1,EMC10
1,1,EMC2
1,1,FAF2
1,1,GPX8
1,1,HSPA13
1,1,IP6K1
1,1,JAGN1
1,1,LRRC8E
1,1,MANBAL
1,1,MAT2A
1,1,METTL7A
1,1,MOGS
1,1,MSMO1
1,1,ODR4
1,1,PDIA4
1,1,PIGS
1,1,PIGT
1,1,POMGNT2
1,1,PON2
1,1,PTRH2
1,1,SAR1B
1,1,SAR1B;DKFZP434B2017
1,1,SEC61A2
1,1,SEC61B
1,1,SEP15
1,1,SLC38A2
1,1,TEX264
1,1,TIA1
1,1,TMCO1
1,1,TMEM237
1,1,TMEM258
1,1,TMX2
1,1,TMX3
1,1,TOR1AIP2
1,1,TPP1
1,1,TTC13
1,1,UBE2G2
1,1,UBE4A
1,1,UBXN4
1,1,VCP
1,1,WFS1
1,1,XXYLT1
2,2,CBX1
2,2,POGK
2,2,PSME3
2,2,RBAK
2,2,TRIM24
2,2,TRIM28
2,2,WEE1
2,2,ZFP1
2,2,ZNF316
2,2,ZNF589
2,2,ZNF747
2,2,ZNF8
3,3,EIF3E
3,3,EIF4B
3,3,MTDH
3,3,RPL10A
3,3,RPL13
3,3,RPL13A;RPL13A
3,3,RPL19
3,3,RPL24
3,3,RPL26L1;RPL26
3,3,RPL27A
3,3,RPL31
3,3,RPL35A
3,3,RPL39P5;RPL39
3,3,RPS13
3,3,RPS16
3,3,RPS6
3,3,RPS9
4,4,ATPIF1
4,4,C18ORF25
4,4,CSNK2A2
4,4,FOXK2
4,4,MAPK3
4,4,PPM1G
4,4,SPG20
5,5,AGGF1
5,5,AMOTL1
5,5,ANKRD20A1;ANKRD20A2;ANKRD20A3;ANKRD20A4;ANKRD20A8P
5,5,ATMIN
5,5,CIZ1
5,5,DCAF7
5,5,DIABLO
5,5,DLG5
5,5,DYNC2H1
5,5,DYNLL1
5,5,DYNLL2
5,5,DYRK1A
5,5,EML3
5,5,FAM117A
5,5,IFFO1
5,5,IFFO2
5,5,KANK1
5,5,KANK2
5,5,KIAA1468
5,5,KMT2C
5,5,LCA5
5,5,MORC3
5,5,MPHOSPH9
5,5,MTPAP
5,5,NDE1
5,5,NDEL1
5,5,OFD1
5,5,OPTN
5,5,PDZRN3
5,5,PLEKHH2
5,5,PPFIBP1
5,5,PTPN12
5,5,PXN
5,5,RNF214
5,5,SKP1
5,5,SOGA1
5,5,TCTEX1D2
5,5,TLK1
5,5,TP53BP1
5,5,WDR60
5,5,WWC1
5,5,WWC2
5,5,XIAP
5,5,ZMYM6
6,6,C16ORF33;SNRNP25
6,6,CMTR2
6,6,DDX20
6,6,DDX42
6,6,ERICH1
6,6,GEMIN2
6,6,GEMIN6
6,6,GEMIN8
6,6,HTATSF1
6,6,NKTR
6,6,PARD3B
6,6,PPIH
6,6,PRPF3
6,6,PRPF31
6,6,RNPC3
6,6,SLC4A1AP
6,6,SMEK1
6,6,SMN1;SMN2
6,6,SNRNP35
6,6,SNRNP70
6,6,SNRPB;SNRPN
6,6,SNRPD1
6,6,SNRPD2
6,6,SNRPD3
6,6,SNRPE
6,6,SNRPF
6,6,SNUPN
6,6,STRAP
6,6,TFIP11
6,6,TUT1
6,6,WDR61
6,6,ZRSR2
7,7,BDP1
7,7,BRF1
7,7,CD3EAP
7,7,CPSF3L
7,7,CRCP
7,7,DDX26B
7,7,GPN3
7,7,GTF2F1
7,7,INTS1
7,7,INTS10
7,7,INTS12
7,7,INTS14
7,7,INTS2
7,7,INTS4
7,7,INTS5
7,7,INTS6
7,7,INTS7
7,7,INTS8
7,7,MAF1
7,7,NELFB
7,7,NELFCD;TH1L
7,7,NELFE
7,7,POLR1A
7,7,POLR2F
7,7,POLR2G
7,7,POLR2H
7,7,POLR2K
7,7,POLR2L
7,7,POLR3A
7,7,POLR3C
7,7,POLR3D
7,7,POLR3G
7,7,POLR3K
7,7,RPRD1B
7,7,TWISTNB
7,7,VWA9
8,8,APTX
8,8,CORO1B
8,8,CORO1C
8,8,H2AFZ;H2AFV
8,8,HIST1H2AC
8,8,IMPDH2
8,8,LIG3
8,8,PARP1
8,8,PBRM1
8,8,POLB
8,8,PRPS1
8,8,TDP1
8,8,TOP2A
8,8,XRCC5
9,9,BCAS2
9,9,CPSF1
9,9,CPSF2
9,9,CSTF1
9,9,CSTF2
9,9,FUS
9,9,HNRNPC;HNRNPCL3;HNRNPCL2;HNRNPCL1;HNRNPCL4
9,9,RBM6
9,9,RPRD1B;RPRD1A
9,9,SNRNP40
9,9,SNRPA
9,9,SYMPK
9,9,WDR33
10,10,ABHD10
10,10,ARHGAP19
10,10,CALM2
10,10,CALM3
10,10,CAMK2B
10,10,CAMKK1
10,10,CAMKK2
10,10,CCDC8
10,10,CEP290
10,10,CUL7
10,10,DDX49
10,10,DDX55
10,10,DENND4C
10,10,ESCO1
10,10,IQCB1
10,10,KIF1A
10,10,KIF1B
10,10,KIF1BBETA;KIF1B
10,10,MAP7D3
10,10,MYO1D
10,10,PPP3CA
10,10,PPP3CB
10,10,PPP3CC
10,10,PPP3R1
10,10,RCAN1
10,10,SCO1
10,10,SH2B1
10,10,TBC1D1
10,10,TIGD1
10,10,UNC13B
11,11,CKAP5
11,11,DNAJA1
11,11,SLAIN2
11,11,TUBA1A
11,11,TUBB2B
11,11,TUBB4B
12,12,C3ORF17
12,12,CCDC59
12,12,EBNA1BP2
12,12,EPB41L5
12,12,MRPL24
12,12,MRPL41
12,12,MRPS17;HCG_1984214
12,12,MRPS18B
12,12,MRPS23
12,12,NPM1
12,12,NPM3
12,12,POP1
12,12,RPL7L1
12,12,SENP5
12,12,WDR12
13,13,HDAC2
13,13,MIER1
14,14,ACBD5
14,14,C6ORF47
14,14,CISD2
14,14,EMD
14,14,EPT1
14,14,FAM73B
14,14,OSBPL10
14,14,OSBPL11
14,14,OSBPL3
14,14,OSBPL9
14,14,PIGK
14,14,PITPNM1
14,14,RAB3GAP1
14,14,RAB3GAP2
14,14,RASSF1
14,14,RMDN2
14,14,SEC63
14,14,SOAT1
14,14,TACC1
14,14,TTC1
14,14,UBXN7
14,14,VAPA
14,14,VAPB
15,15,DAD1
15,15,DDOST
15,15,DSG2
15,15,EIF2AK3
15,15,KAT6A;MYST3
15,15,KRTCAP2
15,15,MLEC
15,15,OSTC
15,15,PLAGL1;DKFZP781P1017
15,15,SMG7
15,15,TMEM43
16,16,ANXA5
16,16,FBL
16,16,PUS7
16,16,RRP9
16,16,SSB
16,16,TGS1
17,17,ANAPC1
17,17,ANAPC10
17,17,ANAPC13
17,17,ANAPC16
17,17,ANAPC2
17,17,ANAPC4
17,17,ANAPC5
17,17,ANAPC7
17,17,BUB1B
17,17,BUB3
17,17,CDC16
17,17,CDC20
17,17,CDC23
17,17,CDC26
17,17,CDC27
17,17,DEPDC1B
17,17,FBXO5
17,17,FHOD3
17,17,FZR1
17,17,KIF18A
17,17,NEK2
17,17,PYCR1
18,18,ACTG1
18,18,PFN2
19,19,CCNC
19,19,CDK8
19,19,IXL;MED29
19,19,MED1
19,19,MED10
19,19,MED12;TNRC11
19,19,MED12L
19,19,MED13
19,19,MED13L
19,19,MED14
19,19,MED16
19,19,MED17
19,19,MED20
19,19,MED22
19,19,MED24
19,19,MED26
19,19,MED30
19,19,MED6
19,19,MED7
19,19,MED8
19,19,MED9
20,20,ARCN1
20,20,COPB1
20,20,COPB2
20,20,COPG1
20,20,DHRS7
20,20,GRAMD1A
20,20,NUDCD1
21,21,MYBBP1A
21,21,TMED1
21,21,TMED10
21,21,TMED3
22,22,FGFR1OP
22,22,IGBP1
22,22,PPP2CA
22,22,PPP2CB
22,22,PPP2R5D
23,23,ABI2
23,23,ABL1
23,23,BRK1
23,23,CYFIP2
23,23,KIAA1522
23,23,MECR
23,23,NCKAP1
23,23,NHSL1
23,23,NHSL2
23,23,WASF1
23,23,WASF2
23,23,WASF3
24,24,CTTNBP2
24,24,FGFR1OP2
24,24,PDCD10
24,24,PPP2CA;PPP2CB
24,24,PPP2R1A
24,24,SIKE1
24,24,STK26
24,24,STRIP1
24,24,STRIP2
24,24,STRN
24,24,STRN3
24,24,STRN4
25,25,ATXN7L2
25,25,CCDC101
25,25,KAT2B
25,25,PPP4C
25,25,PPP4R2
25,25,SF3A3
25,25,SF3B3
25,25,SF3B5
25,25,SNRPA1
25,25,SUPT20H
25,25,SUPT3H
25,25,SUPT7L
25,25,TAF5L
25,25,TAF6L
25,25,TAF9
25,25,TTC33
26,26,NUP107
26,26,NUP98
26,26,NUTF2
26,26,RAN
27,27,HSPB11
27,27,IFT172
27,27,IFT20
27,27,IFT22
27,27,IFT27
27,27,IFT52
27,27,IFT74
27,27,TTC26
27,27,TTC30A;TTC30B
28,28,VPS26A
28,28,VPS26B
28,28,VPS35
29,29,ARID1B
29,29,BCL7A
29,29,BRD7
29,29,BRD9
29,29,DPF2
29,29,GLTSCR1
29,29,SMARCA4
29,29,SMARCC1
29,29,SMARCC2
29,29,SMARCD1
29,29,SMARCD3
29,29,SS18
30,30,GNA11
30,30,GNAI2;GNAI1;GNAO1
30,30,RAB11A
30,30,SLC16A1
31,31,ABT1
31,31,DDX47
31,31,ESF1
31,31,RPS11
31,31,RPS17
32,32,MAGOHB
32,32,NOP16
32,32,RBM8A
32,32,RPL18A
32,32,RPL26;RPL26L1
32,32,RPL36AL;RPL36A;RPL36A-HNRNPH2
32,32,RPL4
32,32,RPL5
32,32,RPS27
32,32,SRP72
32,32,TEX10
33,33,ADRM1
33,33,PAAF1
33,33,PSMC4
33,33,PSMD10
33,33,PSMD4;PIPSL
33,33,PSMD8
33,33,PSMF1
33,33,UCHL5
34,34,CDCA5
34,34,NIPBL
34,34,PDS5A
34,34,RAD21
34,34,SMC1A
34,34,SMC3
34,34,STAG1
34,34,STAG1;DKFZP781D1416
34,34,STAG2
34,34,WAPAL
34,34,WAPL
35,35,CCNH
35,35,CDC7
35,35,CDK7
35,35,ERCC1
35,35,ERCC2
35,35,ERCC3
35,35,ERCC4
35,35,ERCC5-201;BIVM-ERCC5;ERCC5
35,35,GTF2H1
35,35,GTF2H2C
35,35,GTF2H3
35,35,GTF2H4
35,35,PREB
35,35,XPA
36,36,APBB1
36,36,MAGT1
36,36,MYBL2
36,36,NFXL1
36,36,OST4
36,36,PACRGL
36,36,RPN1
36,36,RPN2
36,36,TONSL
36,36,TOR1AIP1
36,36,ZC3HAV1
37,37,CHUK
37,37,IKBKB
37,37,IKBKG
37,37,NFKB1
37,37,NFKB2
37,37,NFKBIB
37,37,REL
37,37,RELA
37,37,RELB
38,38,CLASRP
38,38,MTA1
38,38,RBBP4
38,38,RBBP7
39,39,CCT3
39,39,CCT5
39,39,CCT6A
39,39,CCT8
39,39,IGKC
39,39,MSTO1
39,39,PDCD5
39,39,PDCL
39,39,SSSCA1
39,39,TCP1
39,39,WDR55
40,40,TRAPPC10
40,40,TRAPPC11
40,40,TRAPPC12;CGI-87
40,40,TRAPPC13
40,40,TRAPPC2
40,40,TRAPPC2B;TRAPPC2
40,40,TRAPPC2L
40,40,TRAPPC3
40,40,TRAPPC5
40,40,TRAPPC6B
41,41,BTAF1
41,41,GTF2A1
41,41,TAF5
41,41,TBP
42,42,PDCD6
42,42,SEC13
42,42,SEC23IP
43,43,CYB5B
43,43,ENDOD1
43,43,RTN4
44,44,CDC5L
44,44,CTNNBL1
44,44,CWC15
44,44,ISY1
44,44,PLRG1
44,44,PPIE
44,44,PRPF19
44,44,XAB2
44,44,ZNF830
45,45,BLOC1S2
45,45,C10ORF32-ASMT;C10ORF32
45,45,LAMTOR2
45,45,LAMTOR3
45,45,LOH12CR1
45,45,PIP4P1
46,46,MAP4
46,46,SSBP1
47,47,INPPL1
47,47,TMSB4X
48,48,MVB12B
48,48,TSG101
48,48,UBAP1
48,48,UMAD1
48,48,VPS28
48,48,VPS37A
48,48,VPS37B
49,49,CPVL
49,49,SEPT10
49,49,SEPT11
49,49,SEPT2
49,49,SEPT3
49,49,SEPT5
49,49,SEPT6
49,49,SEPT7
49,49,SEPT9
50,50,GNB1
50,50,GNG12
51,51,C16ORF62
51,51,CCDC22
51,51,COMMD1
51,51,COMMD3-BMI1;COMMD3;BMI1
51,51,COMMD4
51,51,COMMD7
51,51,COMMD8
51,51,DSCR3
51,51,FAM45A;FAM45B
52,52,ATP6V1E1
52,52,ATP6V1F
52,52,ATP6V1G1
52,52,DMXL2
52,52,ROGDI
52,52,WDR7
53,53,ARMC8
53,53,GID4
53,53,GID8
53,53,MAEA
53,53,MKLN1
53,53,RANBP10
53,53,RANBP9
53,53,RMND5A
54,54,CTDP1
54,54,GPN2
54,54,GTF2B
54,54,POLR2A
54,54,POLR2B
54,54,POLR2C
54,54,POLR2J
54,54,POLR2J3;POLR2J;POLR2J2
55,55,CDK19
55,55,JMJD6
55,55,MED11
55,55,MED19
55,55,MED21
55,55,MED28
55,55,MED29
55,55,MED31
55,55,MED4
56,56,IER3IP1
56,56,RER1
56,56,YIF1B
56,56,YIPF5
57,57,ACTR10
57,57,ACTR1A
57,57,DCTN3
57,57,DYNC1I2
57,57,DYNC1LI1
57,57,PAFAH1B1
58,58,DDX46
58,58,RNF169
58,58,SLC7A6
59,59,PACSIN2
59,59,RHOQ
60,60,BET1
60,60,BET1;DKFZP781C0425
60,60,NAPA
60,60,PTTG1IP
60,60,VTI1B
61,61,ARHGEF12
61,61,GIPC1
61,61,MYO6
62,62,DNAJC11
62,62,MTX1
63,63,BYSL
63,63,DDX10
63,63,DHX37
63,63,LTV1
63,63,PARN
63,63,RRP12
63,63,TSR1
63,63,USP16
64,64,ARHGEF6
64,64,ARHGEF7
64,64,GIT1
64,64,GIT2
64,64,NCK2
64,64,PAK1
64,64,PAK3
65,65,CIRH1A
65,65,HEATR1
65,65,NOL11
65,65,UTP15
65,65,UTP4
65,65,WDR43
65,65,WDR75
66,66,UBA52
66,66,UBC;UBB;RPS27A;UBA52
67,67,GDAP1
67,67,TIMM17B
67,67,TOMM20A
67,67,TOMM22
67,67,TOMM7
68,68,GPRASP2
68,68,RBM14
68,68,TCF25
69,69,EFR3A
69,69,EFR3B
69,69,FAM126A
69,69,FAM126B
69,69,PI4KA
69,69,TTC7B
70,70,KIF5A
70,70,KIF5B
70,70,KIF5C
70,70,KLC1
70,70,KLC2
70,70,KLC3
70,70,KLC4
71,71,ATF2
71,71,ATF7
71,71,JUN
72,72,EIF3B
72,72,EIF3C
72,72,EIF3CL
72,72,EIF3I
72,72,EIF3L
73,73,YWHAB
73,73,YWHAG
73,73,YWHAH
73,73,YWHAQ
73,73,YWHAZ
74,74,ANKRD28
74,74,ANKRD44
74,74,ARHGEF2
74,74,PPP6R1
74,74,PPP6R2
74,74,PPP6R3
75,75,CIRBP
75,75,LUC7L
75,75,TNPO3
76,76,SPTLC1
76,76,SPTLC2
77,77,ATP1A1
77,77,NDRG1
77,77,SLC3A2
77,77,SLC7A5
78,78,MSH2
78,78,MSH6
79,79,KSR1
79,79,MAP2K1
79,79,MAP2K2
80,80,HNRNPC
80,80,ILF3
80,80,ZFR
81,81,GPS2
81,81,HDAC3
81,81,NCOR1
81,81,NCOR2
82,82,PSMB2
82,82,PSMC1
82,82,PSMD11
82,82,PSMD6
82,82,PSMD7
82,82,UBE3C
83,83,DRG1
83,83,ZC3H15
84,84,HNRNPAB
84,84,HNRNPL
85,85,AGO1
85,85,AGO2
85,85,TNRC6A
85,85,TNRC6C
86,86,OXSR1
86,86,WNK1
86,86,WNK2
86,86,WNK3
87,87,TUBG1
87,87,TUBG1;TUBG2
88,88,SNX2
88,88,SNX6
89,89,SF3A1
89,89,SF3A2
89,89,SNRPB
90,90,RNF40
90,90,WAC
91,91,PSMB4
91,91,PSMD13
91,91,PSMD2
91,91,PSMD3
91,91,PSMD4
92,92,PRKAA1
92,92,PRKAB2
92,92,PRKAG1
93,93,POLR2D
93,93,POLR2E
93,93,POLR3F
94,94,AKT1S1
94,94,MTOR
94,94,RPTOR
94,94,VMP1
95,95,CDC123
95,95,EIF2B2
95,95,EIF2B3
95,95,EIF2S3
96,96,EEF1B2
96,96,EEF1D
96,96,EEF1G
97,97,DOCK7
97,97,LRCH1
98,98,DDX6
98,98,FAM195B
99,99,CALM1
99,99,CALM2;CALM3;CALM1
99,99,CAMK1
100,100,PHKA1
100,100,PHKB
100,100,PHKG2
101,101,AAR2
101,101,EAPP
101,101,EFTUD2
102,102,ATP6V1A
102,102,ATP6V1B2
102,102,ATP6V1C1
102,102,ATP6V1H
103,103,ARL6IP1
103,103,REEP5
104,104,AP2S1
104,104,C15ORF57
105,105,VPS16
105,105,VPS18
105,105,VPS33A
105,105,VPS41
106,106,UBB
106,106,UBB;UBC;RPS27A;UBA52
107,107,STK11
107,107,STRADA
108,108,SHKBP1
108,108,SNX27
109,109,CBX3
109,109,SMARCA5
110,110,RPP30
110,110,RPP40
110,110,TRIM39-RPP21;RPP21
111,111,POLR1B
111,111,POLR1E
112,112,PDPK1
112,112,PDPK1;PDPK2P
113,113,ALDH1A1
113,113,PI4K2A
114,114,ATP5H
114,114,NVL
115,115,NRBP1
115,115,TSC22D1
115,115,TSC22D2
116,116,DKC1
116,116,NAF1
117,117,MAP1LC3B
117,117,MAP1LC3B;MAP1LC3B2;MAP1LC3A
118,118,NUP214
118,118,NUP62
118,118,NUP93
119,119,KIF3A
119,119,KIF3B
119,119,KIF3C
119,119,KIFAP3
120,120,IMP3
120,120,IMP4
120,120,MPHOSPH10
120,120,UTP3
121,121,ILK
121,121,LIMS1
121,121,PARVA
121,121,RSU1
122,122,HGS
122,122,STAM
122,122,STAM2
123,123,DNAJC5
123,123,GDI1
124,124,CTNNB1
124,124,CTNND1
125,125,DYNC1H1
125,125,DYNLRB1
125,125,DYNLT1
126,126,CENPH
126,126,CENPM
127,127,CCNT1
127,127,CDK9
128,128,CCNB1
128,128,CDC2;CDK1
128,128,CDK1
129,129,DDX23
129,129,PRPF8
130,130,AMOT
130,130,CD151
130,130,ITGA6
131,131,DSN1
131,131,MIS12
131,131,NSL1
131,131,PMF1-BGLAP;PMF1
132,132,G3BP1
132,132,G3BP2
133,133,AKAP10
133,133,ARFGEF1
134,134,ATP6AP1
134,134,ATP6AP2
134,134,ATP6V0C
134,134,ATP6V0D1
135,135,ATG101
135,135,ULK1
136,136,ARL14EP
136,136,ATF7IP
136,136,SETDB1
137,137,ARHGAP15
137,137,BCAP29
137,137,BCAP31
137,137,MICAL2
138,138,AP2A1
138,138,AP2A2
138,138,AP2B1
138,138,EPS15
139,139,RANBP2
139,139,UBE2I
139,139,XPO4
140,140,WASL
140,140,WIPF1
141,141,RCBTB2
141,141,VRK3
142,142,TGFBRAP1
142,142,TTK
142,142,VPS8
143,143,KIAA0226
143,143,KIAA0226L
143,143,UVRAG
144,144,CHD3
144,144,TAF1
144,144,TAF4
145,145,GYG2
145,145,GYS1
146,146,SNX30
146,146,SNX4
147,147,ANXA4
147,147,CCDC117
147,147,SLC35B2
148,148,CLCN7
148,148,OSTM1
148,148,SLC15A4
149,149,PRRC1
149,149,SEC23A
150,150,RAB11FIP5
150,150,SCAMP2
151,151,UBA5
151,151,UFC1
151,151,UFM1
152,152,SAE1
152,152,UBA2
153,153,FAM98B
153,153,RTCB
154,154,RNASEH2A
154,154,RNASEH2B
154,154,RNASEH2C
155,155,RAD1
155,155,RAD9A
156,156,MELK
156,156,PSMG2
156,156,PSMG4
157,157,PSMA5
157,157,PSMA7
158,158,PRKD1
158,158,PRKD2
158,158,PRKD3
159,159,PARD6B
159,159,PRKCI
160,160,FAM109A
160,160,OCRL
161,161,MYO1E
161,161,OSTF1
162,162,MAP2K4
162,162,MAPK8
162,162,MAPK9
163,163,MAP3K7
163,163,TAB1
163,163,TAB3
164,164,HOMER1
164,164,HOMER2
165,165,GTF3A
165,165,GTF3C5
166,166,ETF1
166,166,GSPT1
167,167,ADRBK1
167,167,GRK2
168,168,AGPAT6
168,168,GPAT4
169,169,TMED2
169,169,TMED4
170,170,FAAP100;C17ORF70
170,170,FANCA
171,171,EIF3G
171,171,RPS26;RPS26P11
172,172,DNM1
172,172,DNM3
172,172,SNX9
173,173,CDK4
173,173,CDKN2C
174,174,BNIP1
174,174,C19ORF25
175,175,BLM
175,175,RMI1
175,175,RMI2
176,176,ALDH16A1
176,176,DERA
177,177,AGAP1
177,177,AGAP3
177,177,TANC1
178,178,ARPC2
178,178,ARPC5
178,178,ARPC5L
