ORF,Gene,Description,Control Median,Control STD,control Localization,DTT Median,DTT STD,DTT FoldChange,Significance DTT,DTT Localization,H2O2 Median,H2O2 STD,H2O2 FoldChange,Significance H2O2,H2O2 Localization,Starvation Median,Starvation STD,Starvation FoldChange,Significance Starvation ,Starvation Localization,Pup2-DAmP,MA3 Median,MA3 STD,MA3 FoldChange,Significance MA3 ,MA3 Localization
YGR224W,AZR1,"Plasma membrane transporter of the major facilitator superfamily, involved in resistance to azole drugs such as ketoconazole and fluconazole",17.89,4.17732084,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YJR148W,BAT2,"Cytosolic branched-chain amino acid aminotransferase, homolog of murine ECA39; highly expressed during stationary phase and repressed during logarithmic phase",17.25,3.710121458,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YCR063W,BUD31,Component of the SF3b subcomplex of the U2 snRNP; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern,68.11,16.04869286,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YNL161W,CBK1,"Serine/threonine protein kinase that regulates cell morphogenesis pathways; involved in cell wall biosynthesis, apical growth, proper mating projection morphology, bipolar bud site selection in diploid cells, and cell separation",NA,10.70708327,cytosol:bud neck,NA,NA,NA,0,"cytosol,bud neck",NA,NA,NA,0,technical problem,NA,NA,NA,0,"cytosol,bud neck",cytosol:bud neck,NA,NA,NA,NA,cytosol:bud neck
YDR182W,CDC1,Putative lipid phosphatase of the endoplasmic reticulum; shows Mn2+ dependence and may affect Ca2+ signaling; mutants display actin and general growth defects and pleiotropic defects in cell cycle progression and organelle distribution,18.35,4.121739853,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YBR109C,CMD1,"Calmodulin; Ca++ binding protein that regulates Ca++ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca++ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin",14.92,3.457794727,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YML110C,COQ5,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes",26.98,10.42256364,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,mitochondria,NA,NA,NA,NA,mitochondria
YMR048W,CSM3,Protein required for accurate chromosome segregation during meiosis,17.96,4.871189135,nucleus,16,6,0.89,0,nucleus,16.1,4.87,0.89,0,nucleus,16.71,3.38,0.93,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YBR112C,CYC8,"General transcriptional co-repressor, acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]",50.16,16.96919279,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YJL005W,CYR1,"Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation",25.09,5.315417106,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YDR052C,DBF4,"Regulatory subunit of Cdc7p-Dbf4p kinase complex, required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated",18.8,5.233244159,nucleus:cytosol,NA,NA,NA,0,"nucleus,cytosol",NA,NA,NA,0,"nucleus,cytosol",NA,NA,NA,0,"nucleus,cytosol",nucleus:cytosol,NA,NA,NA,NA,nucleus:cytosol
YDR411C,DFM1,ER localized derlin-like family member involved in ER stress and homeostasis; not involved in ERAD or substrate retrotranslocation; interacts with CDC48; contains four transmembrane domains and two SHP boxes,15.96,3.890708924,below threshold,18.49,5.2,1.15,0,cytosol,16.87,3.35,1.05,0,cytosol,50.15,20.65,3.14,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YER179W,DMC1,Meiosis-specific protein required for repair of double-strand breaks and pairing between homologous chromosomes; homolog of Rad51p and the bacterial RecA protein,15.28,3.954817928,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YGL222C,EDC1,"RNA-binding protein, activates mRNA decapping directly by binding to the mRNA substrate and enhancing the activity of the decapping proteins Dcp1p and Dcp2p; has a role in translation during heat stress",18.05,3.627054768,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YGL231C,EMC4,Member of a transmembrane complex required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; human ortholog TMEM85 may function in apoptosis,35.26,7.53100417,ER,NA,NA,NA,0,ER,NA,NA,NA,0,ER,NA,NA,NA,0,ER,ER,NA,NA,NA,NA,ER
YLR206W,ENT2,Epsin-like protein required for endocytosis and actin patch assembly and functionally redundant with Ent1p; contains clathrin-binding motif at C-terminus,16.55,5.060579429,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YGL001C,ERG26,"C-3 sterol dehydrogenase, catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis",18.1,4.429916737,below threshold,19.86,5.27,1.09,0,cytosol,22.37,4,1.23,0,cytosol,35.37,18.26,1.95,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YMR134W,ERG29,Protein of unknown function that may be involved in iron metabolism; mutant bm-8 has a growth defect on iron-limited medium that is complemented by overexpression of Yfh1p; shows localization to the ER; highly conserved in ascomycetes,43.48,10.59569842,ER,NA,NA,NA,0,ER,NA,NA,NA,0,ER,NA,NA,NA,0,ER,ER,NA,NA,NA,NA,ER
YBR102C,EXO84,"Essential protein with dual roles in spliceosome assembly and exocytosis; the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p) mediates polarized targeting of secretory vesicles to active sites of exocytosis",NA,8.025609712,bud neck,NA,NA,NA,0,bud neck,NA,NA,NA,0,technical problem,NA,NA,NA,0,punctate,bud neck,NA,NA,NA,NA,bud neck
YJL157C,FAR1,"Cyclin-dependent kinase inhibitor that mediates cell cycle arrest in response to pheromone; also forms a complex with Cdc24p, Ste4p, and Ste18p that may specify the direction of polarized growth during mating; potential Cdc28p substrate",22.58,5.796579046,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YBL013W,FMT1,"Methionyl-tRNA formyltransferase, catalyzes the formylation of initiator Met-tRNA in mitochondria; potential Cdc28p substrate",17,4.047576854,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,mitochondria,NA,NA,NA,NA,mitochondria
YNR047W,FPK1,"Ser/Thr protein kinase that regulates the putative phospholipid translocases Lem3p-Dnf1p/Dnf2p; phosphorylates and inhibits upstream inhibitory kinase, Ypk1p; localizes to the cytoplasm, early endosome/TGN compartments, and plasma membrane",29.71,9.135582028,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YLL029W,FRA1,"Protein involved in negative regulation of transcription of iron regulon; forms an iron independent complex with Fra2p, Grx3p, and Grx4p; cytosolic; mutant fails to repress transcription of iron regulon and is defective in spore formation",67.2,17.19943973,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,nucleus,cytosol,NA,NA,NA,NA,cytosol
YNR060W,FRE4,"Ferric reductase, reduces a specific subset of siderophore-bound iron prior to uptake by transporters; expression induced by low iron levels",17.05,4.440546703,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YNL133C,FYV6,"Protein of unknown function, required for survival upon exposure to K1 killer toxin; proposed to regulate double-strand break repair via non-homologous end-joining",23.95,5.606771286,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YOR178C,GAC1,"Regulatory subunit for Glc7p type-1 protein phosphatase (PP1), tethers Glc7p to Gsy2p glycogen synthase, binds Hsf1p heat shock transcription factor, required for induction of some HSF-regulated genes under heat shock",16.55,3.96786219,below threshold,NA,NA,NA,0,ambiguous,NA,NA,NA,0,ambiguous,NA,NA,NA,0,ambiguous,below threshold,NA,NA,NA,NA,below threshold
YER027C,GAL83,"One of three possible beta-subunits of the Snf1 kinase complex, allows nuclear localization of the Snf1 kinase complex in the presence of a nonfermentable carbon source; contains glycogen-binding domain",13.35,3.266626753,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YOR205C,GEP3,"Protein of unknown function; null mutant is defective in respiration and interacts synthetically with prohibitin (phb1); the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies",20.39,4.654036409,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,mitochondria,NA,NA,NA,NA,mitochondria
YOR164C,GET4,"Protein of unknown function, highly conserved across species and homologous to human gene C7orf20; interacts with Mdy2p; genetic interactions predict a role in insertion of tail-anchored proteins into the ER membrane",14.13,3.263721474,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,technical problem,below threshold,NA,NA,NA,NA,below threshold
YMR255W,GFD1,"Coiled-coiled protein of unknown function, identified as a high-copy suppressor of a dbp5 mutation",35.32,12.62318354,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YLR094C,GIS3,Protein of unknown function,20.07,6.294192865,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YHR005C,GPA1,GTP-binding alpha subunit of the heterotrimeric G protein that couples to pheromone receptors; negatively regulates the mating pathway by sequestering G(beta)gamma and by triggering an adaptive response; activates Vps34p at the endosome,52.29,19.34990558,cell periphery,55.97,15.81,1.07,0,cell periphery,45.93,10.58,0.87,0,cell periphery,52.67,9.74,1,0,cell periphery,cell periphery,NA,NA,NA,NA,cell periphery
YMR281W,GPI12,"ER membrane protein involved in the second step of glycosylphosphatidylinositol (GPI) anchor assembly, the de-N-acetylation of the N-acetylglucosaminylphosphatidylinositol intermediate; functional homolog of human PIG-Lp",16.55,4.742449221,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,technical problem,below threshold,NA,NA,NA,NA,below threshold
YJR013W,GPI14,"Glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I, involved in GPI anchor biosynthesis, requires Pbn1p for function; homolog of mammalian PIG-M",29.57,7.375953847,ER,NA,NA,NA,0,ER,NA,NA,NA,0,ER,NA,NA,NA,0,technical problem,ER,NA,NA,NA,NA,ER
YPL223C,GRE1,"Hydrophilin of unknown function; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway",25.99,15.97898831,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YOL151W,GRE2,"3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase (D-lactaldehyde dehydrogenase); stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway",17.84,3.562842754,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YNL021W,HDA1,"Putative catalytic subunit of a class II histone deacetylase complex that also contains Hda2p and Hda3p; Hda1p interacts with the Hda2p-Hda3p subcomplex to form an active tetramer; deletion increases histone H2B, H3 and H4 acetylation",33.47,9.239144987,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YER062C,HOR2,"One of two redundant DL-glycerol-3-phosphatases (RHR2/GPP1 encodes the other) involved in glycerol biosynthesis; induced in response to hyperosmotic stress and oxidative stress, and during the diauxic transition",130.37,49.1585217,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,nucleus,cytosol,NA,NA,NA,NA,cytosol
YOL133W,HRT1,"RING finger containing subunit of Skp1-Cullin-F-box ubiquitin protein ligases (SCF); required for Gic2p, Far1p, Sic1p and Cln2p degradation; may tether Cdc34p (a ubiquitin conjugating enzyme or E2) and Cdc53p (a cullin) subunits of SCF",25.25,6.282451473,cytosol,27.11,8.15,1.07,0,cytosol,28.95,5.9,1.14,0,cytosol,19.52,4.12,0.77,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YCR021C,HSP30,"Hydrophobic plasma membrane localized, stress-responsive protein that negatively regulates the H(+)-ATPase Pma1p; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase",154.36,215.1411367,cell periphery,NA,NA,NA,0,cell periphery,NA,NA,NA,0,cell periphery,NA,NA,NA,0,cell periphery,cell periphery,NA,NA,NA,NA,cell periphery
YHR187W,IKI1,"Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA; iki1 mutations confer resistance to the K. lactis toxin zymocin",34.15,8.06965386,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,technical problem,cytosol,NA,NA,NA,NA,cytosol
YJL106W,IME2,"Serine/threonine protein kinase involved in activation of meiosis, associates with Ime1p and mediates its stability, activates Ndt80p; IME2 expression is positively regulated by Ime1p",15.58,4.360634166,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YNL075W,IMP4,"Component of the SSU processome, which is required for pre-18S rRNA processing; interacts with Mpp10p; member of a superfamily of proteins that contain a sigma(70)-like motif and associate with RNAs",15.14,3.406738335,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YFR013W,IOC3,"Member of a complex (Isw1a) with Isw1p that has nucleosome-stimulated ATPase activity and represses transcription initiation by specific positioning of a promoter proximal dinucleosome; has homology to Esc8p, which is involved in silencing",27.41,6.671837783,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YMR073C,IRC21,Putative protein of unknown function; proposed to be involved in resistance to carboplatin and cisplatin; shares similarity to a human cytochrome oxidoreductase; null mutant displays increased levels of spontaneous Rad52p foci,21.81,4.699521357,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YJL142C,IRC9,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene YJL141C; null mutant displays increased levels of spontaneous Rad52p foci",15.91,3.314744254,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YOR171C,LCB4,"Sphingoid long-chain base kinase, responsible for synthesis of long-chain base phosphates, which function as signaling molecules, regulates synthesis of ceramide from exogenous long-chain bases, localizes to the Golgi and late endosomes",31.38,7.814797574,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YAL024C,LTE1,Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,22.07,5.954067491,bud:cytosol,NA,NA,NA,0,"bud,cytosol",NA,NA,NA,0,"bud,cytosol",NA,NA,NA,0,cytosol,bud:cytosol,NA,NA,NA,NA,bud:cytosol
YDR034C,LYS14,Transcriptional activator involved in regulation of genes of the lysine biosynthesis pathway; requires 2-aminoadipate semialdehyde as co-inducer,26.58,5.361943295,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YCR040W,MATALPHA1,Transcriptional co-activator involved in regulation of mating-type-specific gene expression; targets the transcription factor Mcm1p to the promoters of alpha-specific genes; one of two genes encoded by the MATalpha mating type cassette,16.91,3.823850145,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YDL056W,MBP1,"Transcription factor involved in regulation of cell cycle progression from G1 to S phase, forms a complex with Swi6p that binds to MluI cell cycle box regulatory element in promoters of DNA synthesis genes",16.04,3.785073984,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YOR147W,MDM32,"Mitochondrial inner membrane protein with similarity to Mdm31p, required for normal mitochondrial morphology and inheritance; interacts genetically with MMM1, MDM10, MDM12, and MDM34",20.51,3.418523836,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,mitochondria,NA,NA,NA,NA,mitochondria
YJL102W,MEF2,Mitochondrial elongation factor involved in translational elongation,29.44,7.386180622,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,punctate,mitochondria,NA,NA,NA,NA,mitochondria
YLR332W,MID2,"O-glycosylated plasma membrane protein that acts as a sensor for cell wall integrity signaling and activates the pathway; interacts with Rom2p, a guanine nucleotide exchange factor for Rho1p, and with cell integrity pathway protein Zeo1p",25.08,6.107336746,punctate,26.48,8.58,1.05,0,punctate,25.34,6.11,1.01,0,punctate,33.17,6.47,1.32,0,punctate,punctate,NA,NA,NA,NA,punctate
YER028C,MIG3,"Probable transcriptional repressor involved in response to toxic agents such as hydroxyurea that inhibit ribonucleotide reductase; phosphorylation by Snf1p or the Mec1p pathway inactivates Mig3p, allowing induction of damage response genes",17.93,4.318520383,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YMR167W,MLH1,Protein required for mismatch repair in mitosis and meiosis as well as crossing over during meiosis; forms a complex with Pms1p and Msh2p-Msh3p during mismatch repair; human homolog is associated with hereditary non-polyposis colon cancer,18.91,3.936555878,punctate,NA,NA,NA,0,punctate,NA,NA,NA,0,technical problem,NA,NA,NA,0,punctate,punctate,NA,NA,NA,NA,punctate
YGL087C,MMS2,"Ubiquitin-conjugating enzyme variant involved in error-free postreplication repair; forms a heteromeric complex with Ubc13p, an active ubiquitin-conjugating enzyme; cooperates with chromatin-associated RING finger proteins, Rad18p and Rad5p",44.06,12.08194705,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YMR177W,MMT1,Putative metal transporter involved in mitochondrial iron accumulation; closely related to Mmt2p,21.45,6.718493932,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,mitochondria,NA,NA,NA,NA,mitochondria
YKL064W,MNR2,"Vacuolar membrane protein required for magnesium homeostasis; putative magnesium transporter; has similarity to Alr1p and Alr2p, which mediate influx of Mg2+ and other divalent cations",17.48,4.341531058,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YDL247W,MPH2,"Alpha-glucoside permease, transports maltose, maltotriose, alpha-methylglucoside, and turanose; identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication",16.82,4.760052592,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YDL028C,MPS1,"Dual-specificity kinase required for spindle pole body (SPB) duplication and spindle checkpoint function; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, and checkpoint protein Mad1p",19.96,6.883861577,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YJL063C,MRPL8,Mitochondrial ribosomal protein of the large subunit,54.48,14.5153424,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,mitochondria,NA,NA,NA,NA,mitochondria
YML117W,NAB6,Putative RNA-binding protein that associates with mRNAs encoding cell wall proteins in high-throughput studies; deletion mutants display increased sensitivity to some cell wall disrupting agents; expression negatively regulated by cAMP,34.54,7.717677764,cytosol,34.46,8.65,0.99,0,cytosol,31.65,7.4,0.91,0,cytosol,29.87,6.47,0.86,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YIL164C,NIT1,"Nitrilase, member of the nitrilase branch of the nitrilase superfamily; in closely related species and other S. cerevisiae strain backgrounds YIL164C and adjacent ORF, YIL165C, likely constitute a single ORF encoding a nitrilase gene",16.98,3.87810796,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YLR195C,NMT1,"N-myristoyl transferase, catalyzes the cotranslational, covalent attachment of myristic acid to the N-terminal glycine residue of several proteins involved in cellular growth and signal transduction",14.98,5.389642955,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YGR043C,NQM1,Transaldolase of unknown function; transcription is repressed by Mot1p and induced by alpha-factor and during diauxic shift,22.36,16.75127797,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YDR360W,OPI7,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene VID21/YDR359C.",18.39,4.177737105,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
